pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_GOOGL_7082,GOOGL,Google,7082,株式会社ジモティー,direct,株式会社ジモティーの売上37.4%がGoogleに依存,37.4,,,edinet_yuho_2025
D_6083_7266,6083,ＥＲＩホールディングス,7266,株式会社今仙電機製作所,direct,株式会社今仙電機製作所の売上10.1%がＥＲＩホールディングスに依存,10.1,,,edinet_yuho_2025
D_000270.KS_7279,000270.KS,Kia,7279,株式会社ハイレックスコーポレーション,direct,株式会社ハイレックスコーポレーションの売上11.4%がKiaに依存,11.4,,,edinet_yuho_2025
D_7203_7279,7203,トヨタ自動車,7279,株式会社ハイレックスコーポレーション,direct,株式会社ハイレックスコーポレーションの売上10.5%がトヨタ自動車に依存,10.5,,,edinet_yuho_2025
D_7201_7291,7201,日産自動車,7291,日本プラスト株式会社,direct,日本プラスト株式会社の売上22.8%が日産自動車に依存,22.8,,,edinet_yuho_2025
D_6083_7291,6083,ＥＲＩホールディングス,7291,日本プラスト株式会社,direct,日本プラスト株式会社の売上13.5%がＥＲＩホールディングスに依存,13.5,,,edinet_yuho_2025
D_8031_7456,8031,三井物産,7456,松田産業株式会社,direct,松田産業株式会社の売上17.0%が三井物産に依存,17.0,,,edinet_yuho_2025
D_8058_7456,8058,三菱商事,7456,松田産業株式会社,direct,松田産業株式会社の売上11.3%が三菱商事に依存,11.3,,,edinet_yuho_2025
D_6503_7527,6503,三菱電機,7527,株式会社システムソフト,direct,株式会社システムソフトの売上14.9%が三菱電機に依存,14.9,,,edinet_yuho_2025
D_6503_7565,6503,三菱電機,7565,萬世電機株式会社,direct,萬世電機株式会社の売上10.9%が三菱電機に依存,10.9,,,edinet_yuho_2025
D_7412_7616,7412,アトム,7616,株式会社コロワイド,direct,株式会社コロワイドの売上96.0%がアトムに依存,96.0,,,edinet_yuho_2025
D_3349_7698,3349,コスモス薬品,7698,株式会社アイスコ,direct,株式会社アイスコの売上15.6%がコスモス薬品に依存,15.6,,,edinet_yuho_2025
D_7649_7698,7649,スギホールディングス,7698,株式会社アイスコ,direct,株式会社アイスコの売上10.5%がスギホールディングスに依存,10.5,,,edinet_yuho_2025
D_7751_7739,7751,キヤノン,7739,キヤノン電子株式会社,direct,キヤノン電子株式会社の売上43.9%がキヤノンに依存,43.9,,,edinet_yuho_2025
D_3401_7774,3401,帝人,7774,株式会社ジャパン・ティッシュエンジニアリング,direct,株式会社ジャパン・ティッシュエンジニアリングの売上12.5%が帝人に依存,12.5,,,edinet_yuho_2025
